"parque_id","nome_parque","classificacao_area_verde","area_m2","categoria_area_verde"
269,"ARISTOCRATAS_EXPANSAO","Parque Municipal Proposto: em Planejamento",39610.84,"Urbano"
270,"MANANCIAIS PAULISTANOS BILLINGS","Parque Municipal Proposto: em Planejamento",1615403.32,"Natural"
271,"MANANCIAIS PAULISTANOS CASTANHEIRAS","Parque Municipal Proposto: em Planejamento",2897262.57,"Natural"
272,"LINEAR DO RIBEIRAO CAULIM FASE 2","Parque Municipal Proposto: em Planejamento",459264.44,"Linear"
273,"LINEAR RIBEIRAO COCAIA","Parque Municipal Proposto: em Planejamento",1025102.92,"Linear"
274,"PRAIA DE SAO PAULO (ORLA GUARAPIRANGA)","Parque Municipal Proposto: em Planejamento",108012.42,"Urbano"
275,"VARZEA DO COCAIA 1 FASE","Parque Municipal Proposto: em Planejamento",136442.76,"Linear"
276,"CANTINHO DO CEU FASE 2","Parque Municipal Proposto: em Implantação",77901,"Linear"
277,"CANTINHO DO CEU FASE 3","Parque Municipal Proposto: em Implantação",203657.25,"Linear"
278,"CANTINHO DO CEU FASE 4","Parque Municipal Proposto: em Implantação",79643.84,"Linear"
279,"CANTINHO DO CEU FASE 5","Parque Municipal Proposto: em Implantação",57696.69,"Linear"
280,"CANTINHO DO CEU FASE 6","Parque Municipal Proposto: em Implantação",46693.41,"Linear"
281,"CASTELO (ORLA DO GUARAPIRANGA)","Parque Municipal Proposto: em Implantação",18216.09,"Linear"
282,"CEU TRES LAGOS FASE 2","Parque Municipal Proposto: em Implantação",35883.43,"Urbano"
